"","Price_Cents","Q_Low_Kwh","Q_High_Kwh"
"1",6.14,152623.2,453526.5
"2",7.18,109290,415408.35
"3",8.08,128002.8,478374.75
"4",9.04,132265.2,458603.25
"5",10.06,123312,376478.55
"6",11.14,113738.4,429401.7
"7",12,97320,378928.2
"8",13.14,104022,374668.35
"9",14.1,82299.6,321604.5
"10",15.1,91377.6,275156.7
"11",16.14,85251.6,268710.75
"12",17,24172.8,281368.5
"13",18.12,35546.4,308695.8
"14",19.18,16898.4,265093.5
"15",20.04,44870.4,234731.7
"16",21.12,20311.2,181881
"17",22.16,0,218551.2
"18",23.18,46135.2,165974.55
"19",24.02,18350.4,141378.3
